filme,genero
Titanic,romance
Matrix,ficcao cientifica
Avatar 2,ficcao cientifica
Inception,ficcao cientifica
Interestelar,ficcao cientifica
Gladiador,acao
Vingadores: Ultimato,acao
John Wick 4,acao
O Iluminado,terror
A Noite do Diabo,terror
Hereditário,terror
O Homem nas Trevas,terror
Diário de uma paixão,romance
Lista de Schindler,drama
Forrest Gump: O Contador de Histórias,drama
Clube da Luta,acao
Drive My Car,drama
Tár,drama
A Favorita,drama
Cidade de Deus,acao
Velozes e Furiosos 7,acao
Homem de Ferro 2,acao
10 Coisas que eu odeio em você,romance
O Fabuloso Destino de Amélie Poulain,romance
Lagoa Azul,romance
O Grande Truque,ficcao cientifica
Capitão América: Soldado Invernal,acao
Invocação do Mal 4,terror
Snatch: Porcos e Diamantes,acao
A Origem,ficcao cientifica
Manchester à Beira,drama
Réquiem para um Sonho,drama
Magnólia,drama
O Grande Hotel Budapeste,comedia
Jojo Rabbit,comedia
A Bruxa,terror
Her,ficcao cientifica
O Pianista,drama
Antes do Amanhecer,drama
O Segredo de Brokeback Mountain,drama
Moonlight,drama
Suspiria,terror
Halloween: A noite do terror,terror
It: a coisa,terror
Superbad,comedia
A mentira,comedia
As Branquelas,comedia
O Grande Lebowski,comedia
Diário de Bridget Jones,romance
Como Perder um Homem em 10 dias,romance
Orgulho e Preconceito,romance
